id,GEOID,borough,commute_midtown_manhattan,commute_downtown_manhattan,commute_downtown_brooklyn
"53-Leroy-St,-Unit-1,-New-York,-NY-10014",36061006700,Manhattan,18.65798652434556,17.61648709967558,22.58315376634225
"52-Barrow-St,-Unit-L,-New-York,-NY-10014",36061007300,Manhattan,17.33531497351557,18.74701130762217,23.713677974288835
"888-Eighth-Ave-Unit-L,-New-York,-NY-10019",36061013100,Manhattan,13.457404635554404,28.30874838129586,32.740737968887736
"200-E-71st-St,-Unit-B,-New-York,-NY-10021",36061012602,Manhattan,18.5162551627353,27.76633892206275,33.73300558872942
"405-E-56th-St,-Unit-O,-New-York,-NY-10022",36061010601,Manhattan,18.368582297064865,32.18524896373153,38.1519156303982
"240-E-10th-St,-Apt-3C,-New-York,-NY-10003",36061004001,Manhattan,24.60883137934619,23.92549804601285,28.522893258468343
"222-E-39th-St,-Unit-25,-New-York,-NY-10016",36061007800,Manhattan,15.076841823422887,23.84783697704916,30.31450364371583
"53-Park-Pl,-Unit-A,-New-York,-NY-10007",36061002100,Manhattan,19.872319108825717,9.896266424817274,15.24722248447716
"235-W-22nd-2y-St,-Unit-Ev,-New-York,-NY-10011",36061009100,Manhattan,13.193667470646393,21.51033413731306,26.477000803979724
"50-Murray-St,-Apt-2101,-New-York,-NY-10007",36061002100,Manhattan,20.02178693632584,9.451920770028634,14.404561344232484
"888-Eighth-Ave-Unit-U,-New-York,-NY-10019",36061013100,Manhattan,13.457404635554404,28.30874838129586,32.740737968887736
"26-Grove-4a-St,-Unit-Ev,-New-York,-NY-10014",36061007300,Manhattan,17.574534906595918,18.62927356376787,23.59594023043454
"405-E-56th-St,-Unit-9,-New-York,-NY-10022",36061010601,Manhattan,18.368582297064865,32.18524896373153,38.1519156303982
"50-Murray-St,-Unit-8L,-New-York,-NY-10007",36061002100,Manhattan,20.00995178592927,9.458976924604087,14.386911576137894
"338-E-70th-St,-Unit-B,-New-York,-NY-10021",36061012601,Manhattan,19.287258672770022,32.93210191293007,38.89876857959674
"137-E-38th-St,-Ph-D,-New-York,-NY-10016",36061008000,Manhattan,13.88604974910392,22.147163143253543,28.61382980992021
"162-W-80th-St,-Unit-G,-New-York,-NY-10024",36061016500,Manhattan,19.47821646741703,32.7948831340837,35.761549800750366
"305-W-13th-St,-Unit-N,-New-York,-NY-10014",36061007700,Manhattan,16.630505868186493,19.44717253485316,24.943581628415053
"50-Murray-St,-Unit-811A,-New-York,-NY-10007",36061002100,Manhattan,19.689968727619664,9.775340645881814,14.627267850927495
"248-Mott-St,-Unit-4A,-New-York,-NY-10012",36061004300,Manhattan,18.044022497930637,17.174347480635674,22.327355831263965
"234-W-14th-St,-Unit-C,-New-York,-NY-10011",36061007700,Manhattan,15.366289437843983,19.6048248192589,22.14962277117732
"307-Mott-1c-St,-Unit-Ev,-New-York,-NY-10012",36061005502,Manhattan,16.72078315607611,16.23616234628979,21.004116489409444
"104-E-37th-St,-Apt-3A,-New-York,-NY-10016",36061008000,Manhattan,13.875258747575709,23.63237368298549,30.09904034965216
"50-Murray-St,-Unit-1015A,-New-York,-NY-10007",36061002100,Manhattan,19.689968727619664,9.775340645881814,14.627267850927495
"401-E-58th-St,-Apt-A12,-New-York,-NY-10022",36061010601,Manhattan,19.24808268254375,31.00391162536648,37.470578292033146
"236-E-36th-St,-Apt-5G,-New-York,-NY-10016",36061007800,Manhattan,18.511849415467704,27.059152081462184,33.52581874812885
"521-E-5th-St,-Apt-1B,-New-York,-NY-10009",36061003200,Manhattan,29.24698429562534,26.301770029763013,26.030317628958677
"26-E-91st-St,-Unit-D,-New-York,-NY-10128",36061015002,Manhattan,29.906702681883942,35.010867079661274,40.97753374632794
"888-Eighth-Ave-Unit-S,-New-York,-NY-10019",36061013100,Manhattan,13.457404635554404,28.30874838129586,32.740737968887736
"246-Mott-St,-Apt-3,-New-York,-NY-10012",36061004300,Manhattan,18.12803917683655,17.081412338790297,22.411372510169883
"50-Murray-St,-Apt-1810,-New-York,-NY-10007",36061002100,Manhattan,19.57587805451264,10.00672869597971,15.075914627217138
"323-E-78th-St,-Apt-2C,-New-York,-NY-10075",36061013400,Manhattan,23.35409328350812,33.84061436454822,39.80728103121489
"342-E-55th-St,-Apt-7D,-New-York,-NY-10022",36061010801,Manhattan,15.491135144236852,29.30780181090352,35.27446847757019
"166-2nd-Ave,-Unit-9KK,-New-York,-NY-10003",36061004001,Manhattan,22.76960586898141,21.724032289982127,27.552939202314747
"340-E-61st-St,-Unit-1BB,-New-York,-NY-10065",36061011000,Manhattan,21.2352547986672,29.86839755328846,36.33506421995513
"151-Mott-St,-Unit-R,-New-York,-NY-10013",36061004100,Manhattan,20.72786370428523,15.349006750297509,22.30575060234779
"29-7th-Ave-S,-Apt-4A,-New-York,-NY-10014",36061006700,Manhattan,17.2724202498867,18.575188047395773,23.54185471406244
"26-E-91st-4c-St,-Unit-Ev,-New-York,-NY-10128",36061015002,Manhattan,29.906702681883942,35.010867079661274,40.97753374632794
"54-E-4th-St,-Apt-2,-New-York,-NY-10003",36061003800,Manhattan,21.593755023201297,20.0521253495164,22.90498530958562
"323-W-96th-St,-Ph-11,-New-York,-NY-10025",36061018300,Manhattan,22.93705858632892,34.25372525299558,36.22039191966225
"888-Eighth-Ave,-Unit-4,-New-York,-NY-10019",36061013100,Manhattan,13.457404635554404,28.30874838129586,32.740737968887736
"888-Eighth-Ave,-Unit-B7,-New-York,-NY-10019",36061013100,Manhattan,13.514448473470264,28.362643603854668,32.7977818068036
"888-Eighth-Ave-Unit-N,-New-York,-NY-10019",36061013100,Manhattan,13.582366669912115,28.4644034726881,32.86570000324545
"151-E-71st-St,-Unit-EV34,-New-York,-NY-10021",36061012800,Manhattan,20.66280765682516,27.47023146860068,33.43689813526735
"151-W-16th-St,-Unit-D,-New-York,-NY-10011",36061008100,Manhattan,13.10257591151734,20.08011725044848,23.89586424679089
"140-E-46th-St,-Unit-K,-New-York,-NY-10017",36061009200,Manhattan,13.839475621525464,21.93607017149814,28.40273683816481
"310-Greenwich-St,-Unit-J,-New-York,-NY-10013",36061003900,Manhattan,22.004345729270455,15.321012395937124,19.28767906260379
"58-W-8th-St,-Apt-4F,-New-York,-NY-10011",36061006300,Manhattan,13.78890616763212,16.605572834298787,23.07223950096545
"50-Murray-St,-Unit-808A,-New-York,-NY-10007",36061002100,Manhattan,19.689968727619664,9.775340645881814,14.627267850927495
"50-Murray-St,-Unit-16,-New-York,-NY-10007",36061002100,Manhattan,20.00995178592927,9.458976924604087,14.386911576137894
"121-Madison-Ave-Unit-L,-New-York,-NY-10016",36061007400,Manhattan,14.50607785371296,21.443662458961168,27.910329125627836
"318-E-89th-St,-Unit-E,-New-York,-NY-10128",36061014602,Manhattan,21.01715354710784,35.40493208836582,41.37159875503248
"50-Murray-St,-Unit-425A,-New-York,-NY-10007",36061002100,Manhattan,19.687885436869227,9.777167113082417,14.62753764988275
"50-Murray-St,-Apt-1213,-New-York,-NY-10007",36061002100,Manhattan,19.57587805451264,10.00672869597971,15.075914627217138
"401-E-88th-3c-St,-Unit-Ev,-New-York,-NY-10128",36061014402,Manhattan,22.37827107578824,37.19493774245491,43.494563235772254
"145-Fourth-Ave,-Unit-10GH,-New-York,-NY-10003",36061004200,Manhattan,16.623876528293593,13.357209861626927,19.823876528293592
"255-W-12th-St,-Unit-W,-New-York,-NY-10014",36061007700,Manhattan,16.051248758752433,20.367915425419092,22.834582092085764
"50-Murray-St,-Unit-1719A,-New-York,-NY-10007",36061002100,Manhattan,19.689968727619664,9.775340645881814,14.627267850927495
"405-W-49th-St,-Unit-3EE,-New-York,-NY-10019",36061012700,Manhattan,17.950712770726103,30.592650956094,37.23404610405943
"25-W-68th-1a-St,-Unit-Ev,-New-York,-NY-10023",36061015301,Manhattan,17.74857617944262,34.065242846109285,37.031909512775954
"350-W-21st-St,-Unit-G,-New-York,-NY-10011",36061008900,Manhattan,19.41794045614103,23.321722943447813,30.78838961011448
"42-Ave-B,-Units-6-&-3R,-New-York,-NY-10009",36061003200,Manhattan,27.822388237937208,24.139054904603874,25.76657518473134
"184-Lexington-Ave,-Unit-2BB,-New-York,-NY-10016",36061007200,Manhattan,18.049409645400488,21.242803525031324,27.709470191697992
"322-W-14th-St,-Unit-4BB,-New-York,-NY-10014",36061007700,Manhattan,16.720640208017677,19.537306874684344,25.573424316272952
"344-E-55th-St,-Apt-4B,-New-York,-NY-10022",36061010801,Manhattan,15.602074884221484,29.41874155088815,35.38540821755482
"13-25-Astor-Pl,-Unit-4FF,-New-York,-NY-10003",36061005700,Manhattan,17.37805929929095,16.194725965957616,21.66139263262428
"322-W-14th-St,-Unit-3BB,-New-York,-NY-10014",36061007700,Manhattan,16.720640208017677,19.537306874684344,25.573424316272952
"195-Stanton-St,-New-York,-NY-10002",36061002201,Manhattan,23.621124329346337,19.937790996013003,22.094521845155217
"354-E-78th-St,-Apt-4A,-New-York,-NY-10075",36061013400,Manhattan,23.30132477543964,34.77328962051247,40.73995628717913
"256-W-108th-St,-Unit-5W190,-New-York,-NY-10025",36061019500,Manhattan,24.86529240390895,38.181959070575616,41.14862573724228
"145-4th-Ave,-Unit-17AA,-New-York,-NY-10003",36061004200,Manhattan,16.623876528293593,13.357209861626927,19.823876528293592
"115-Lexington-Ave,-Unit-6,-New-York,-NY-10016",36061006800,Manhattan,20.566699116147426,20.125877796399266,26.592544463065927
"222-E-12th-St,-Unit-5CC,-New-York,-NY-10003",36061004002,Manhattan,20.53993626198866,18.96375694906813,25.323269595322
