outcome,between_condition_var,within_cell_replicate_var,ratio
median_hh_income,122285832.17067899,282820938.97661066,0.4323789907959822
median_gross_rent,29158.657916666667,72340.37114845938,0.4030758683394957
median_rent_pct_income,0.35709351851851817,0.9006274509803915,0.39649415319264214
renter_share,0.0006068203304907452,0.002008435021374443,0.302135903841926
pct_nonwhite,0.001678919809337746,0.004127050599595057,0.4068086321748709
pct_black_nh,0.000558579203779919,0.0015453426352055742,0.36145977665698203
pct_hispanic,0.0005373107597030768,0.0008217134179908277,0.6538906970958998
