model,arch,cond,outcome,n_scenarios,mean_diff,ci_lo,ci_hi,p_raw,p_bh
gpt-5.6-luna,S3,C3_voucher,pct_nonwhite,150,-0.004518946950619604,-0.17104666874797728,0.11378414165894232,0.3703,0.15225
gpt-5.6-luna,S1,C3_voucher,pct_black_nh,150,0.0017382495641736322,-0.041388304881860384,0.07198536154332391,0.3884,0.15225
gpt-5.6-sol,S1,C2_name_b,pct_hispanic,60,-0.0021055377491557828,-0.05040505527147397,0.030602306347840502,0.3993,0.15225
gpt-5.6-sol,S1,C1_name_a,renter_share,60,-0.0027551160059944976,-0.054298807647295486,0.023649855961907027,0.4494,0.15225
gpt-5.6-luna,S3,C1_name_a,pct_black_nh,150,-0.0035456273128617447,-0.08478138763768403,0.07895489967086076,0.4645,0.15225
gpt-5.6-luna,S1,C1_name_a,pct_hispanic,150,0.0018389138158950158,-0.06455204257647515,0.06284715312925163,0.4688,0.15225
claude-opus-5,S1,C1_name_a,median_hh_income,60,-1500.0055555555564,-41290.29999999999,24533.16666666663,0.4759,0.15225
claude-opus-5,S1,C2_name_b,pct_nonwhite,60,0.0032894850652886378,-0.02004804047912927,0.0852197323068203,0.4785,0.15225
gpt-5.6-luna,S1,C3_voucher,median_gross_rent,150,-14.201111111111125,-485.45,436.79166666666686,0.479,0.15225
gpt-5.6-sol,S1,C3_voucher,median_rent_pct_income,60,0.05611111111111147,-0.9241666666666627,1.831249999999999,0.4934,0.15225
gpt-5.6-luna,S1,C1_name_a,median_gross_rent,150,-16.415555555555567,-669.8333333333335,485.65,0.4937,0.15225
gpt-5.6-sol,S1,C3_voucher,pct_hispanic,60,0.00214332969408045,-0.048337761453684985,0.04863324824382662,0.4938,0.15225
gpt-5.6-luna,S1,C1_name_a,pct_nonwhite,150,0.003622080640052634,-0.14664983430746578,0.1408924537853141,0.4975,0.15225
gpt-5.6-luna,S2,C1_name_a,pct_nonwhite,150,0.0029422132278143004,-0.10305612579908571,0.10883989227963256,0.4978,0.15225
gpt-5.6-luna,S2,C1_name_a,median_rent_pct_income,150,-0.053666666666666765,-2.495833333333337,1.7158333333333364,0.505,0.15225
gpt-5.6-luna,S1,C3_voucher,pct_hispanic,150,0.001732936946089,-0.04548487699238773,0.06442815637973989,0.528,0.15225
claude-opus-5,S1,C1_name_a,renter_share,60,0.0028700030711297157,-0.040882350380085794,0.051722696035807945,0.5476,0.15225
gpt-5.6-luna,S2,C2_name_b,pct_nonwhite,150,-0.0028288434360614558,-0.16255709881897498,0.11937078445143608,0.5683,0.15225
gpt-5.6-luna,S3,C2_name_b,renter_share,150,0.002163748367167498,-0.08482335189944656,0.11222450768453456,0.5792,0.15225
gpt-5.6-luna,S1,C2_name_b,pct_hispanic,150,0.0019457595795614295,-0.06074181151482948,0.06298400465479691,0.5888,0.15225
gpt-5.6-luna,S2,C1_name_a,pct_hispanic,150,0.0008620686600139978,-0.041553220967794624,0.046554273917659865,0.6203,0.15225
gpt-5.6-luna,S2,C1_name_a,median_hh_income,150,482.3744444444444,-24732.195833333328,35903.516666666685,0.6265,0.15225
gpt-5.6-luna,S3,C3_voucher,median_rent_pct_income,150,0.04000000000000014,-2.564166666666666,2.479166666666664,0.6376,0.15225
gpt-5.6-sol,S1,C1_name_a,pct_black_nh,60,0.0023134894879174228,-0.014850581288422367,0.019900872676167823,0.6403,0.15225
gpt-5.6-luna,S2,C3_voucher,median_gross_rent,150,7.481111111111121,-421.6666666666665,446.35000000000065,0.6476,0.15225
gpt-5.6-luna,S2,C2_name_b,renter_share,150,-0.0011077055749586276,-0.0675516634535278,0.06705488573104455,0.6524,0.15225
gpt-5.6-luna,S2,C2_name_b,pct_hispanic,150,-0.0007665642728728532,-0.041553220967794624,0.04432955383256813,0.6658,0.15225
gpt-5.6-luna,S1,C1_name_a,pct_black_nh,150,-0.0010432231427928566,-0.08525564615823042,0.07213805699346912,0.6937,0.15225
gpt-5.6-luna,S2,C3_voucher,median_rent_pct_income,150,0.0291111111111109,-2.084999999999998,2.027499999999999,0.6998,0.15225
gpt-5.6-luna,S3,C2_name_b,median_hh_income,150,400.66777777777816,-26068.25833333334,30809.212500000027,0.7062,0.15225
gpt-5.6-sol,S1,C2_name_b,median_rent_pct_income,60,-0.019444444444444525,-0.9954166666666671,0.7524999999999997,0.7068,0.15225
